game_id,home_players,away_players,result
20301187,"['Darius Miles', 'Zach Randolph', 'Theo Ratliff', 'Derek Anderson', 'Damon Stoudamire']","['Devean George', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']",0
20301175,"['Devean George', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Mickael Pietrus', 'Clifford Robinson', 'Adonal Foyle', 'Mike Dunleavy', 'Jason Richardson']",1
20301157,"['Peja Stojakovic', 'Chris Webber', 'Vlade Divac', 'Doug Christie', 'Mike Bibby']","['Devean George', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']",1
20301145,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['James Posey', 'Stromile Swift', 'Jake Tsakalidis', 'Mike Miller', 'Jason Williams']",1
20301121,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Darius Miles', 'Zach Randolph', 'Theo Ratliff', 'Derek Anderson', 'Damon Stoudamire']",0
20301110,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Bruce Bowen', 'Tim Duncan', 'Rasho Nesterovic', 'Hedo Turkoglu', 'Tony Parker']",0
20301100,"['Reggie Evans', 'Rashard Lewis', 'Vitaly Potapenko', 'Ray Allen', 'Brent Barry']","['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']",0
20301088,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Jim Jackson', 'Maurice Taylor', 'Yao Ming', 'Cuttino Mobley', 'Steve Francis']",1
20301075,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Stacey Augmon', 'P.J. Brown', 'Jamaal Magloire', 'David Wesley', 'Darrell Armstrong']",1
20301063,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Andrei Kirilenko', 'Tom Gugliotta', 'Jarron Collins', 'Gordan Giricek', 'Carlos Arroyo']",1
20301046,"['Rick Fox', 'Karl Malone', ""Shaquille O'Neal"", 'Kobe Bryant', 'Gary Payton']","['Latrell Sprewell', 'Kevin Garnett', 'Ervin Johnson', 'Trenton Hassell', 'Sam Cassell']",1
